no,total_posts,helpful_post,nice_code_post,collaborative_post,confused_post,creative_post,bad_post,amazing_post,timeonline,Approved
0,1,0,0,0,0,6,0,1,1600,0
1,1,0,0,1,0,2,0,3,592,0
2,2,4,3,9,0,16,1,8,1110,1
3,5,1,3,9,2,11,0,8,8651,1
4,14,6,15,28,0,50,0,45,34172,1
5,9,3,9,16,7,21,0,17,14985,1
6,15,10,21,21,1,34,0,37,25897,1
7,8,9,21,20,0,31,0,28,9476,1
8,6,3,12,13,0,24,0,19,43612,1
9,4,4,1,3,0,15,0,14,4791,0
10,5,1,3,6,0,16,0,20,18063,1
11,4,1,0,1,0,13,0,10,7269,1
12,4,3,1,4,0,21,0,19,8900,1
13,7,2,8,20,0,16,0,29,16753,1
14,5,1,0,4,0,8,0,24,17348,1
15,2,2,1,7,1,9,0,8,4152,1
16,2,3,3,10,0,16,0,26,5771,1
17,2,2,1,5,0,10,0,10,1581,1
18,1,0,0,1,0,2,0,4,368,1
19,18,16,27,42,3,76,2,54,21506,1
20,2,0,2,4,0,7,0,9,3247,1
21,13,8,14,33,1,35,0,26,20765,1
22,3,0,0,1,0,2,0,7,1284,0
23,15,8,8,29,0,65,0,61,22594,1
24,8,3,20,12,0,24,0,33,10447,1
25,13,11,13,24,0,34,0,28,19244,1
26,6,6,13,15,0,26,0,34,27669,1
27,11,8,18,33,0,44,0,53,17693,1
28,0,0,0,0,0,0,0,0,734,0
29,3,1,1,7,0,10,0,24,8867,1
30,0,0,0,0,0,0,0,0,0,0
31,4,0,0,4,0,12,0,9,14875,1
32,0,0,0,0,0,0,0,0,0,0
33,12,7,11,37,0,34,0,64,22701,1
34,2,5,1,7,2,4,0,2,1655,1
35,3,3,2,3,0,12,0,12,3019,1
36,10,3,15,16,2,22,0,24,14728,1
37,4,1,3,3,0,10,0,11,9601,1
38,7,9,16,35,0,27,0,27,18510,1
39,6,5,1,13,0,18,0,26,13084,1
40,2,1,2,4,0,9,0,9,1351,0
41,8,6,16,17,0,15,0,24,11239,1
42,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0
44,6,3,4,11,0,17,0,25,7664,0
45,8,6,15,13,3,12,1,18,15354,1
46,2,3,4,1,0,14,0,7,32098,1
47,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0
49,2,0,2,2,0,3,0,10,2581,0
50,6,1,14,19,0,26,0,25,12576,1
51,4,2,1,7,0,8,0,17,2995,1
52,4,1,3,7,0,17,0,8,2042,1
53,8,4,19,8,0,26,0,25,3377,1
54,3,5,6,11,0,19,0,16,13037,1
55,5,5,11,12,0,14,0,21,15228,1
56,0,0,0,0,0,0,0,0,0,0
57,2,3,2,4,0,7,0,7,1835,0
58,5,5,0,12,5,11,0,12,18545,1
59,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
61,11,12,39,22,2,45,0,28,18955,1
62,3,0,0,4,0,11,0,7,2944,1
63,1,0,0,1,0,4,0,4,4271,0
64,8,6,2,11,0,24,0,18,7568,1
65,7,6,9,19,0,32,0,28,16395,1
66,46,53,90,89,3,150,0,155,39314,1
67,6,5,14,16,5,24,0,22,13221,1
68,0,0,0,0,0,0,0,0,988,0
69,2,2,2,2,0,7,0,9,2100,0
70,5,8,9,19,2,22,0,17,6826,1
